Date,Weekday,In Time,Out Time
2025/01/06,Monday,07:00,15:30
2025/01/06,Monday,07:00,15:30
2025/01/06,Monday,07:00,15:30
2025/01/06,Monday,07:00,15:30
2025/01/13,Monday,07:00,15:30
2025/01/13,Monday,07:00,15:30
2025/01/13,Monday,07:00,15:30
2025/01/13,Monday,07:00,15:30
2025/01/20,Monday,07:00,15:30
2025/01/20,Monday,07:00,15:30
2025/01/20,Monday,07:00,15:30
2025/01/27,Monday,07:00,15:30
2025/01/27,Monday,07:00,15:30
2025/01/27,Monday,07:00,15:30
2025/02/03,Monday,07:00,15:30
2025/02/03,Monday,07:00,15:30
2025/02/03,Monday,07:00,15:30
2025/02/10,Monday,07:00,15:30
2025/02/10,Monday,07:00,15:30
2025/02/10,Monday,07:00,15:30
2025/02/17,Monday,07:00,15:30
2025/02/17,Monday,07:00,15:30
2025/02/17,Monday,07:00,15:30
2025/02/24,Monday,07:00,15:30
2025/02/24,Monday,07:00,15:30
2025/02/24,Monday,07:00,15:30
2025/03/03,Monday,07:00,15:30
2025/03/03,Monday,07:00,15:30
2025/03/03,Monday,07:00,15:30
2025/03/10,Monday,07:00,15:30
2025/03/10,Monday,07:00,15:30
2025/03/10,Monday,07:00,15:30
2025/03/17,Monday,07:00,15:30
2025/03/17,Monday,07:00,15:30
2025/03/17,Monday,07:00,15:30
2025/03/24,Monday,07:00,15:30
2025/03/24,Monday,07:00,15:30
2025/03/24,Monday,07:00,15:30
2025/03/31,Monday,07:00,15:30
2025/03/31,Monday,07:00,15:30
2025/03/31,Monday,07:00,15:30
2025/04/07,Monday,07:00,15:30
2025/04/07,Monday,07:00,15:30
2025/04/07,Monday,07:00,15:30
2025/04/14,Monday,07:00,15:30
2025/04/14,Monday,07:00,15:30
2025/04/14,Monday,07:00,15:30
2025/04/21,Monday,07:00,15:30
2025/04/21,Monday,07:00,15:30
2025/04/21,Monday,07:00,15:30
2025/04/28,Monday,07:00,15:30
2025/04/28,Monday,07:00,15:30
2025/04/28,Monday,07:00,15:30
2025/05/05,Monday,07:00,15:30
2025/05/05,Monday,07:00,15:30
2025/05/05,Monday,07:00,15:30
2025/05/12,Monday,07:00,15:30
2025/05/12,Monday,07:00,15:30
2025/05/12,Monday,07:00,15:30
2025/05/19,Monday,07:00,15:30
2025/05/19,Monday,07:00,15:30
2025/05/19,Monday,07:00,15:30
2025/05/26,Monday,07:00,15:30
2025/05/26,Monday,07:00,15:30
2025/05/26,Monday,07:00,15:30
2025/06/02,Monday,07:00,15:30
2025/06/02,Monday,07:00,15:30
2025/06/02,Monday,07:00,15:30
2025/06/09,Monday,07:00,15:30
2025/06/09,Monday,07:00,15:30
2025/06/09,Monday,07:00,15:30
2025/06/16,Monday,07:00,15:30
2025/06/16,Monday,07:00,15:30
2025/06/16,Monday,07:00,15:30
2025/06/23,Monday,07:00,15:30
2025/06/23,Monday,07:00,15:30
2025/06/23,Monday,07:00,15:30
2025/06/30,Monday,07:00,15:30
2025/06/30,Monday,07:00,15:30
2025/06/30,Monday,07:00,15:30
2025/01/07,Tuesday,07:00,15:30
2025/01/07,Tuesday,07:00,15:30
2025/01/14,Tuesday,07:00,15:30
2025/01/14,Tuesday,07:00,15:30
2025/01/21,Tuesday,07:00,15:30
2025/01/21,Tuesday,07:00,15:30
2025/01/28,Tuesday,07:00,15:30
2025/01/28,Tuesday,07:00,15:30
2025/02/04,Tuesday,07:00,15:30
2025/02/04,Tuesday,07:00,15:30
2025/02/11,Tuesday,07:00,15:30
2025/02/11,Tuesday,07:00,15:30
2025/02/18,Tuesday,07:00,15:30
2025/02/18,Tuesday,07:00,15:30
2025/02/25,Tuesday,07:00,15:30
2025/03/04,Tuesday,07:00,15:30
2025/03/11,Tuesday,07:00,15:30
2025/03/18,Tuesday,07:00,15:30
2025/03/25,Tuesday,07:00,15:30
